辽宁电信专用,#genre#
移动电视,http://10.255.128.136/PLTV/88888888/224/3221225688/10000100000000060000000000000224_0.smil/index.m3u8?fmt=ts2hls
沈阳新闻综合,http://10.255.128.136/PLTV/88888888/224/3221225786/10000100000000060000000000000323_0.smil/index.m3u8?fmt=ts2hls
营口新闻综合,http://10.255.128.136/PLTV/88888888/224/3221225856/10000100000000060000000000500390_0.smil/index.m3u8?fmt=ts2hls
辽河文化生活,http://10.255.128.136/PLTV/88888888/224/3221225855/10000100000000060000000000500392_0.smil/index.m3u8?fmt=ts2hls
抚顺综合,http://10.255.128.136/PLTV/88888888/224/3221225811/10000100000000060000000000063562_0.smil/index.m3u8?fmt=ts2hls
丹东新闻综合,http://10.255.128.136/PLTV/88888888/224/3221225840/10000100000000060000000000411750_0.smil/index.m3u8?fmt=ts2hls
山东教育卫视,http://10.255.128.136/PLTV/88888888/224/3221226288/10000100000000060000000000863667_0.smil/index.m3u8?fmt=ts2hls
新疆兵团卫视,http://10.255.128.136/PLTV/88888888/224/3221225731/10000100000000060000000000000268_0.smil/index.m3u8?fmt=ts2hls
陕西农林卫视,http://10.255.128.136/PLTV/88888888/224/3221225732/10000100000000060000000000000269_0.smil/index.m3u8?fmt=ts2hls
吉林延边卫视,http://10.255.128.136/PLTV/88888888/224/3221226270/10000100000000060000000000863675_0.smil/index.m3u8?fmt=ts2hls
西藏藏语卫视,http://10.255.128.136/PLTV/88888888/224/3221226269/10000100000000060000000000863663_0.smil/index.m3u8?fmt=ts2hls
安多藏语综合,http://10.255.128.136/PLTV/88888888/224/3221226265/10000100000000060000000000863648_0.smil/index.m3u8?fmt=ts2hls
康巴藏语综合,http://10.255.128.136/PLTV/88888888/224/3221226266/10000100000000060000000000863653_0.smil/index.m3u8?fmt=ts2hls
湖南金鹰卡通,http://10.255.128.136/PLTV/88888888/224/3221226268/10000100000000060000000000801410_0.smil/index.m3u8?fmt=ts2hls
上海炫动卡通,http://10.255.128.136/PLTV/88888888/224/3221225734/10000100000000060000000000000271_0.smil/index.m3u8?fmt=ts2hls
江苏优漫卡通,http://10.255.128.136/PLTV/88888888/224/3221225735/10000100000000060000000000000272_0.smil/index.m3u8?fmt=ts2hls
广东嘉佳卡通,http://10.255.128.136/TVOD/88888888/224/3221225736/10000100000000060000000000000273_0.smil/index.m3u8?fmt=ts2hls
北京卡酷少儿,http://10.255.128.136/PLTV/88888888/224/3221226261/10000100000000060000000000801427_0.smil/index.m3u8?fmt=ts2hls
湖南金鹰纪实,http://10.255.128.136/PLTV/88888888/224/3221225656/10000100000000060000000000000193_0.smil/index.m3u8?fmt=ts2hls
北京纪实科教,http://10.255.128.136/PLTV/88888888/224/3221225655/10000100000000060000000000000192_0.smil/index.m3u8?fmt=ts2hls
NNM证券服务,http://10.255.128.136/PLTV/88888888/224/3221226242/10000100000000060000000000801337_0.smil/index.m3u8?fmt=ts2hls
NNM家庭理财,http://10.255.128.136/PLTV/88888888/224/3221225687/10000100000000060000000000000223_0.smil/index.m3u8?fmt=ts2hls
NNM新动漫,http://10.255.128.136/PLTV/88888888/224/3221225697/10000100000000060000000000000233_0.smil/index.m3u8?fmt=ts2hls
CCTV电视指南,http://10.255.128.136/PLTV/88888888/224/3221225751/10000100000000060000000000000288_0.smil/index.m3u8?fmt=ts2hls
CCTV第一剧场,http://10.255.128.136/PLTV/88888888/224/3221225753/10000100000000060000000000000290_0.smil/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://10.255.128.136/PLTV/88888888/224/3221225756/10000100000000060000000000000293_0.smil/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://10.255.128.136/PLTV/88888888/224/3221225755/10000100000000060000000000000292_0.smil/index.m3u8?fmt=ts2hls
CCTV风云足球,http://10.255.128.136/PLTV/88888888/224/3221225752/10000100000000060000000000000289_0.smil/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://10.255.128.136/PLTV/88888888/224/3221225757/10000100000000060000000000000294_0.smil/index.m3u8?fmt=ts2hls
CCTV央视台球,http://10.255.128.136/PLTV/88888888/224/3221225798/10000100000000060000000000000424_0.smil/index.m3u8?fmt=ts2hls
CCTV央视文化精品,http://10.255.128.136/PLTV/88888888/224/3221225758/10000100000000060000000000000295_0.smil/index.m3u8?fmt=ts2hls
CCTV世界地理,http://10.255.128.136/PLTV/88888888/224/3221225754/10000100000000060000000000000291_0.smil/index.m3u8?fmt=ts2hls
CCTV兵器科技,http://10.255.128.136/PLTV/88888888/224/3221225797/10000100000000060000000000000423_0.smil/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://10.255.128.136/PLTV/88888888/224/3221225760/10000100000000060000000000000297_0.smil/index.m3u8?fmt=ts2hls
CCTV高尔夫网球,http://10.255.128.136/PLTV/88888888/224/3221225866/10000100000000060000000000533951_0.smil/index.m3u8?fmt=ts2hls
CGTN,http://10.255.128.136/PLTV/88888888/224/3221225791/10000100000000060000000000000360_0.smil/index.m3u8?fmt=ts2hls
CGTN纪录,http://10.255.128.136/PLTV/88888888/224/3221225792/10000100000000060000000000000361_0.smil/index.m3u8?fmt=ts2hls
CGTN俄语,http://10.255.128.136/PLTV/88888888/224/3221226279/10000100000000060000000000801397_0.smil/index.m3u8?fmt=ts2hls
CGTN西语,http://10.255.128.136/PLTV/88888888/224/3221226249/10000100000000060000000000801388_0.smil/index.m3u8?fmt=ts2hls
CGTN阿语,http://10.255.128.136/PLTV/88888888/224/3221226260/10000100000000060000000000801394_0.smil/index.m3u8?fmt=ts2hls
CGTN法语,http://10.255.128.136/PLTV/88888888/224/3221226275/10000100000000060000000000801393_0.smil/index.m3u8?fmt=ts2hls
湖南茶,http://10.255.128.136/PLTV/88888888/224/3221225831/10000100000000060000000000264072_0.smil/index.m3u8?fmt=ts2hls
湖南先锋乒羽,http://10.255.128.136/PLTV/88888888/224/3221226212/10000100000000060000000000787862_0.smil/index.m3u8?fmt=ts2hls
湖南快乐垂钓,http://10.255.128.136/PLTV/88888888/224/3221225832/10000100000000060000000000264071_0.smil/index.m3u8?fmt=ts2hls
SiTV都市剧场,http://10.255.128.136/PLTV/88888888/224/3221226185/10000100000000060000000000602973_0.smil/index.m3u8?fmt=ts2hls
SiTV法治天地,http://10.255.128.136/PLTV/88888888/224/3221226178/10000100000000060000000000602925_0.smil/index.m3u8?fmt=ts2hls
SiTV金色学堂,http://10.255.128.136/PLTV/88888888/224/3221226175/10000100000000060000000000602962_0.smil/index.m3u8?fmt=ts2hls
SiTV动漫秀场,http://10.255.128.136/PLTV/88888888/224/3221226183/10000100000000060000000000602968_0.smil/index.m3u8?fmt=ts2hls
SiTV游戏风云,http://10.255.128.136/PLTV/88888888/224/3221226182/10000100000000060000000000602964_0.smil/index.m3u8?fmt=ts2hls
书画,http://10.255.128.136/PLTV/88888888/224/3221226176/10000100000000060000000000602970_0.smil/index.m3u8?fmt=ts2hls
SiTV乐游,http://10.255.128.136/PLTV/88888888/224/3221226180/10000100000000060000000000602974_0.smil/index.m3u8?fmt=ts2hls
SiTV生活时尚,http://10.255.128.136/PLTV/88888888/224/3221226179/10000100000000060000000000602963_0.smil/index.m3u8?fmt=ts2hls
河南梨园,http://10.255.128.136/PLTV/88888888/224/3221226220/10000100000000060000000000799003_0.smil/index.m3u8?fmt=ts2hls
河南武术世界,http://10.255.128.136/PLTV/88888888/224/3221226235/10000100000000060000000000799004_0.smil/index.m3u8?fmt=ts2hls
河南文物宝库,http://10.255.128.136/PLTV/88888888/224/3221226224/10000100000000060000000000799005_0.smil/index.m3u8?fmt=ts2hls
中华特产,http://10.255.128.136/PLTV/88888888/224/3221225841/10000100000000060000000000446101_0.smil/index.m3u8?fmt=ts2hls

CCTV1,http://39.135.126.62/PLTV/88888888/224/3221226443/index.m3u8
CCTV1,http://39.135.126.62/PLTV/88888888/224/3221226709/index.m3u8
CCTV1,http://39.135.126.62/PLTV/88888888/224/3221226746/index.m3u8
CCTV1,http://39.135.126.62/PLTV/88888888/224/3221226896/index.m3u8
CCTV2,http://39.135.126.62/PLTV/88888888/224/3221226468/index.m3u8
CCTV2,http://39.135.126.62/PLTV/88888888/224/3221226843/index.m3u8
CCTV3,http://39.135.126.62/PLTV/88888888/224/3221226898/index.m3u8
CCTV3,http://39.135.126.62/PLTV/88888888/224/3221227065/index.m3u8
CCTV4,http://39.135.126.62/PLTV/88888888/224/3221226636/index.m3u8
CCTV4,http://39.135.126.62/PLTV/88888888/224/3221226845/index.m3u8
CCTV5+,http://39.135.126.62/PLTV/88888888/224/3221226445/index.m3u8
CCTV5+,http://39.135.126.62/PLTV/88888888/224/3221226912/index.m3u8
CCTV5,http://39.135.126.62/PLTV/88888888/224/3221226900/index.m3u8
CCTV5,http://39.135.126.62/PLTV/88888888/224/3221227126/index.m3u8
CCTV6,http://39.135.126.62/PLTV/88888888/224/3221226847/index.m3u8
CCTV6,http://39.135.126.62/PLTV/88888888/224/3221227128/index.m3u8
CCTV7,http://39.135.126.62/PLTV/88888888/224/3221227067/index.m3u8
CCTV8,http://39.135.126.62/PLTV/88888888/224/3221226902/index.m3u8
CCTV8,http://39.135.126.62/PLTV/88888888/224/3221227130/index.m3u8
CCTV9,http://39.135.126.62/PLTV/88888888/224/3221226470/index.m3u8
CCTV9,http://39.135.126.62/PLTV/88888888/224/3221226849/index.m3u8
CCTV10,http://39.135.126.62/PLTV/88888888/224/3221226462/index.m3u8
CCTV10,http://39.135.126.62/PLTV/88888888/224/3221226904/index.m3u8
CCTV11,http://39.135.126.62/PLTV/88888888/224/3221226558/index.m3u8
CCTV11,http://39.135.126.62/PLTV/88888888/224/3221226851/index.m3u8
CCTV12,http://39.135.126.62/PLTV/88888888/224/3221226439/index.m3u8
CCTV12,http://39.135.126.62/PLTV/88888888/224/3221226906/index.m3u8
CCTV13,http://39.135.126.62/PLTV/88888888/224/3221226481/index.m3u8
CCTV13,http://39.135.126.62/PLTV/88888888/224/3221226853/index.m3u8
CCTV14,http://39.135.126.62/PLTV/88888888/224/3221226464/index.m3u8
CCTV14,http://39.135.126.62/PLTV/88888888/224/3221226908/index.m3u8
CCTV15,http://39.135.126.62/PLTV/88888888/224/3221226498/index.m3u8
CCTV15,http://39.135.126.62/PLTV/88888888/224/3221226855/index.m3u8
CCTV16,http://39.135.126.62/PLTV/88888888/224/3221226834/index.m3u8
CCTV16,http://39.135.126.62/PLTV/88888888/224/3221226910/index.m3u8
CCTV17,http://39.135.126.62/PLTV/88888888/224/3221226594/index.m3u8
CCTV17,http://39.135.126.62/PLTV/88888888/224/3221226857/index.m3u8
CCTV兵器科技,http://39.135.126.62/PLTV/88888888/224/3221227091/index.m3u8
CCTV央视台球,http://39.135.126.62/PLTV/88888888/224/3221227085/index.m3u8
CCTV央视文化精品,http://39.135.126.62/PLTV/88888888/224/3221227087/index.m3u8
CCTV女性时尚,http://39.135.126.62/PLTV/88888888/224/3221227152/index.m3u8
CCTV怀旧剧场,http://39.135.126.62/PLTV/88888888/224/3221227079/index.m3u8
CCTV第一剧场,http://39.135.126.62/PLTV/88888888/224/3221227144/index.m3u8
CCTV风云剧场,http://39.135.126.62/PLTV/88888888/224/3221227146/index.m3u8
CCTV风云地理,http://39.135.126.62/PLTV/88888888/224/3221227150/index.m3u8
CCTV风云足球7083,http://39.135.126.62/PLTV/88888888/224/3221227083/index.m3u8
CCTV风云音乐,http://39.135.126.62/PLTV/88888888/224/3221227148/index.m3u8
CCTV高尔夫网球,http://39.135.126.62/PLTV/88888888/224/3221227077/index.m3u8
东南卫视,http://39.135.126.62/PLTV/88888888/224/3221226536/index.m3u8
东南卫视,http://39.135.126.62/PLTV/88888888/224/3221227071/index.m3u8
东方卫视,http://39.135.126.62/PLTV/88888888/224/3221226453/index.m3u8
东方卫视,http://39.135.126.62/PLTV/88888888/224/3221226877/index.m3u8
云南卫视,http://39.135.126.62/PLTV/88888888/224/3221226634/index.m3u8
云南卫视,http://39.135.126.62/PLTV/88888888/224/3221227134/index.m3u8
北京卫视,http://39.135.126.62/PLTV/88888888/224/3221226449/index.m3u8
北京卫视,http://39.135.126.62/PLTV/88888888/224/3221226871/index.m3u8
吉林卫视,http://39.135.126.62/PLTV/88888888/224/3221226763/index.m3u8
吉林卫视,http://39.135.126.62/PLTV/88888888/224/3221226928/index.m3u8
四川卫视,http://39.135.126.62/PLTV/88888888/224/3221226488/index.m3u8
四川卫视,http://39.135.126.62/PLTV/88888888/224/3221226938/index.m3u8
天津卫视,http://39.135.126.62/PLTV/88888888/224/3221226465/index.m3u8
天津卫视,http://39.135.126.62/PLTV/88888888/224/3221226926/index.m3u8
安徽卫视,http://39.135.126.62/PLTV/88888888/224/3221226447/index.m3u8
安徽卫视,http://39.135.126.62/PLTV/88888888/224/3221226879/index.m3u8
山东卫视,http://39.135.126.62/PLTV/88888888/224/3221226486/index.m3u8
山东卫视,http://39.135.126.62/PLTV/88888888/224/3221226875/index.m3u8
广东卫视,http://39.135.126.62/PLTV/88888888/224/3221226476/index.m3u8
广东卫视,http://39.135.126.62/PLTV/88888888/224/3221226934/index.m3u8
广西卫视,http://39.135.126.62/PLTV/88888888/224/3221226580/index.m3u8
广西卫视,http://39.135.126.62/PLTV/88888888/224/3221227073/index.m3u8
江苏卫视,http://39.135.126.62/PLTV/88888888/224/3221226638/index.m3u8
江苏卫视,http://39.135.126.62/PLTV/88888888/224/3221226930/index.m3u8
江西卫视,http://39.135.126.62/PLTV/88888888/224/3221226516/index.m3u8
江西卫视,http://39.135.126.62/PLTV/88888888/224/3221227136/index.m3u8
河北卫视,http://39.135.126.62/PLTV/88888888/224/3221226576/index.m3u8
河北卫视,http://39.135.126.62/PLTV/88888888/224/3221227132/index.m3u8
河南卫视,http://39.135.126.62/PLTV/88888888/224/3221226491/index.m3u8
河南卫视,http://39.135.126.62/PLTV/88888888/224/3221227069/index.m3u8
浙江卫视,http://39.135.126.62/PLTV/88888888/224/3221226618/index.m3u8
浙江卫视,http://39.135.126.62/PLTV/88888888/224/3221226932/index.m3u8
海南卫视,http://39.135.126.62/PLTV/88888888/224/3221226585/index.m3u8
深圳卫视,http://39.135.126.62/PLTV/88888888/224/3221226463/index.m3u8
深圳卫视,http://39.135.126.62/PLTV/88888888/224/3221226881/index.m3u8
湖北卫视,http://39.135.126.62/PLTV/88888888/224/3221226455/index.m3u8
湖北卫视,http://39.135.126.62/PLTV/88888888/224/3221226883/index.m3u8
湖南卫视,http://39.135.126.62/PLTV/88888888/224/3221226459/index.m3u8
湖南卫视,http://39.135.126.62/PLTV/88888888/224/3221226480/index.m3u8
湖南卫视,http://39.135.126.62/PLTV/88888888/224/3221226936/index.m3u8
贵州卫视,http://39.135.126.62/PLTV/88888888/224/3221226616/index.m3u8
重庆卫视,http://39.135.126.62/PLTV/88888888/224/3221226490/index.m3u8
重庆卫视,http://39.135.126.62/PLTV/88888888/224/3221226885/index.m3u8
黑龙江卫视,http://39.135.126.62/PLTV/88888888/224/3221226478/index.m3u8
黑龙江卫视,http://39.135.126.62/PLTV/88888888/224/3221226873/index.m3u8
辽宁卫视,http://39.135.126.62/PLTV/88888888/224/3221226461/index.m3u8
辽宁卫视,http://39.135.126.62/PLTV/88888888/224/3221226859/index.m3u8
北京纪实科教,http://39.135.126.62/PLTV/88888888/224/3221226472/index.m3u8
北京纪实科教,http://39.135.126.62/PLTV/88888888/224/3221226942/index.m3u8
沈阳新闻综合,http://39.135.126.62/PLTV/88888888/224/3221226593/index.m3u8
沈阳新闻综合,http://39.135.126.62/PLTV/88888888/224/3221226924/index.m3u8
湖南金鹰卡通,http://39.135.126.62/PLTV/88888888/224/3221226543/index.m3u8
湖南金鹰卡通,http://39.135.126.62/PLTV/88888888/224/3221226940/index.m3u8
湖南金鹰纪实,http://39.135.126.62/PLTV/88888888/224/3221226887/index.m3u8
睛彩广场舞,http://39.135.126.62/PLTV/88888888/224/3221227142/index.m3u8
睛彩竞技,http://39.135.126.62/PLTV/88888888/224/3221227138/index.m3u8
睛彩篮球,http://39.135.126.62/PLTV/88888888/224/3221227075/index.m3u8
睛彩青少,http://39.135.126.62/PLTV/88888888/224/3221227140/index.m3u8
NNM新动漫,http://39.135.126.62/PLTV/88888888/224/3221226501/index.m3u8
NNM家庭理财,http://39.135.126.62/PLTV/88888888/224/3221226538/index.m3u8
辽宁体育休闲,http://39.135.126.62/PLTV/88888888/224/3221226508/index.m3u8
辽宁体育休闲,http://39.135.126.62/PLTV/88888888/224/3221226916/index.m3u8
辽宁公共,http://39.135.126.62/PLTV/88888888/224/3221226528/index.m3u8
辽宁公共,http://39.135.126.62/PLTV/88888888/224/3221226922/index.m3u8
辽宁北方,http://39.135.126.62/PLTV/88888888/224/3221226515/index.m3u8
辽宁北方,http://39.135.126.62/PLTV/88888888/224/3221226865/index.m3u8
辽宁影视剧,http://39.135.126.62/PLTV/88888888/224/3221226512/index.m3u8
辽宁影视剧,http://39.135.126.62/PLTV/88888888/224/3221226861/index.m3u8
辽宁教育青少,http://39.135.126.62/PLTV/88888888/224/3221226473/index.m3u8
辽宁教育青少,http://39.135.126.62/PLTV/88888888/224/3221226863/index.m3u8
辽宁生活,http://39.135.126.62/PLTV/88888888/224/3221226489/index.m3u8
辽宁生活,http://39.135.126.62/PLTV/88888888/224/3221226918/index.m3u8
辽宁移动电视,http://39.135.126.62/PLTV/88888888/224/3221226717/index.m3u8
辽宁移动电视,http://39.135.126.62/PLTV/88888888/224/3221226867/index.m3u8
辽宁经济,http://39.135.126.62/PLTV/88888888/224/3221226504/index.m3u8
辽宁经济,http://39.135.126.62/PLTV/88888888/224/3221226869/index.m3u8
辽宁都市,http://39.135.126.62/PLTV/88888888/224/3221226524/index.m3u8
辽宁都市,http://39.135.126.62/PLTV/88888888/224/3221226914/index.m3u8


